,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
0,rikitea,82,PF,1570731209,71,-23.12,-134.97,68.68,11.07
1,meulaboh,96,ID,1570731209,83,4.14,96.13,80.2,6.36
2,touros,40,BR,1570731210,62,-5.2,-35.46,84.2,18.34
3,altay,0,CN,1570731210,51,47.83,88.13,37.9,1.92
4,shihezi,27,CN,1570731210,28,44.3,86.03,63.64,4.68
5,baruun-urt,66,MN,1570731211,67,46.68,113.28,27.46,9.74
6,cape town,40,ZA,1570731211,72,-33.93,18.42,63.0,12.75
7,kinango,40,KE,1570731212,88,-4.13,39.32,78.8,4.7
8,plettenberg bay,0,ZA,1570731212,80,-34.05,23.37,57.34,5.64
9,saint-philippe,1,CA,1570731212,48,45.36,-73.48,66.0,17.22
10,albany,20,US,1570731213,39,42.65,-73.75,69.01,10.29
11,dikson,100,RU,1570731214,83,73.51,80.55,29.8,25.84
12,lorengau,36,PG,1570731214,75,-2.02,147.27,82.18,3.91
13,plouzane,90,FR,1570731215,93,48.38,-4.62,61.0,13.87
14,norman wells,20,CA,1570731215,86,65.28,-126.83,33.8,5.82
15,chokurdakh,96,RU,1570731216,89,70.62,147.9,11.08,5.02
16,esperance,90,AU,1570731216,100,-33.86,121.89,53.6,3.36
17,mataura,100,NZ,1570731217,91,-46.19,168.86,43.0,11.01
18,najran,40,SA,1570731217,29,17.54,44.22,78.8,9.17
19,ust-kulom,95,RU,1570731217,97,61.69,53.69,34.84,5.21
20,general roca,100,AR,1570731218,14,-39.03,-67.58,78.8,13.87
21,kalat,0,PK,1570731218,26,29.03,66.58,61.66,4.31
22,bahia honda,70,CU,1570731219,77,22.9,-83.16,83.44,6.86
23,airai,54,TL,1570731219,29,-8.93,125.41,66.52,5.56
24,kodiak,90,US,1570731220,93,39.95,-94.76,70.0,11.41
25,usvyaty,100,RU,1570731220,95,55.75,30.75,45.46,5.96
26,qaanaaq,50,GL,1570731221,64,77.48,-69.36,24.4,11.53
27,mahebourg,75,MU,1570731221,57,-20.41,57.7,75.2,14.99
28,rondonopolis,69,BR,1570731221,35,-16.46,-54.64,93.7,5.13
29,hatillo,1,PR,1570731222,74,18.49,-66.83,89.01,8.05
30,namatanai,5,PG,1570731222,73,-3.66,152.44,82.72,8.9
31,bluff,23,AU,1570731223,93,-23.58,149.07,60.76,8.37
